TSLA,GOOG,META,AAPL,MSFT,AMZN,NVDA,V,ORCL,CSCO
17922000,102033017,69846400,560518000,52899300,65420000,47883600,15826400,33758400,40304500
11130000,93075567,63140600,352965200,48294400,55018000,29888800,14937200,21819500,50603500
10110000,110954331,72715400,594333600,52521100,37484000,52496800,10376000,21687300,36378900
6630000,66476239,83781800,484156400,37110400,98200000,61073200,10242400,14008300,30790700
19260000,67295297,45871300,458707200,44703100,60214000,46642400,11800400,17408900,33218100
10470000,81291563,104787700,407604400,49047900,45312000,69502000,17552800,18932700,30380100
13837500,73703226,95316400,601146000,71431300,57268000,50636800,16313600,17843600,31419200
23448000,51600690,89598000,350506800,55512100,48266000,51317200,9578000,15105200,23423800
13876500,114985384,98892800,734207600,48324400,85500000,30568400,8877600,14589400,55156900
24363000,157696879,173242600,876772400,48244500,46538000,37588800,6696000,16263600,29550900
20673000,81239368,75332700,690804800,41077400,41312000,33737600,5464400,17608200,39685100
21550500,88791570,40256700,453678400,51685900,37692000,58073600,7833600,17827100,41951400
53326500,129555794,49631500,472922800,52167700,58840000,39708800,13812400,30088900,42835000
28803000,152264594,55243300,461546400,58650600,42754000,30822400,6918000,19309500,35955400
23464500,237249950,48899800,861509600,50387700,50178000,42180800,7108800,17235800,37130100
29556000,135815168,43845100,1460852400,101739300,68340000,39698000,6794000,18662000,47256000
19317000,89369729,54363600,1208026400,81847700,99362000,39392000,6701600,18061300,28354800
29790000,65327951,59682500,785517600,56056500,86428000,42249200,13532000,20119500,30431400
21399000,70145942,72976500,571158000,49242600,203452000,38887200,11664000,18284800,35300200
14521500,69579828,87682100,417155200,43580500,261508000,28759200,18708000,14249900,35260400
13521000,65613015,190744900,319334400,50530000,135442000,47054400,16685600,19077700,29992500
16509000,150405652,85856700,539484400,55565900,122300000,28881600,12738400,27725700,25754100
16920000,122075862,92362200,477117200,50540000,74472000,51174400,10532000,23595800,32053300
19653000,75108474,47948200,573347600,35410400,80258000,36729600,11105200,16662700,24952600
28398000,83435569,38375900,593706400,41889600,55408000,53068800,15056800,15603500,27848400
17949000,114033831,34540100,704580800,38028300,79514000,44000000,20182800,26869300,34442900
17097000,121256803,37708800,633158400,33318500,77584000,30723200,12914000,19255700,23056900
48994500,87037018,37361800,517490400,32247700,68074000,40830800,11032400,12648800,33552000
33919500,74638720,93498700,609053200,35990900,58874000,27780400,9805600,14666300,46463500
14502000,48107646,50164000,475207600,41715600,105860000,85639600,13917600,13176800,63608700
14860500,69672173,35615800,355275200,32663200,69260000,88209600,12760000,15886800,67172100
30264000,109601278,33109300,391745200,49650900,79598000,73386000,17884400,18406000,44439700
40521000,117711564,49396400,435783600,38781400,57084000,43355200,13210000,16446000,45590500
46830000,110982436,42098200,476302400,44110200,70578000,71301200,15688800,16263700,47494700
135567000,140781714,49642300,447182400,49078500,72748000,58040800,14220800,20923100,33007100
38209500,82463941,36350200,330654800,31425900,62496000,37014800,11738000,13754700,20483300
43341000,92501423,34652000,372579200,48011800,60648000,64444400,11183200,19992900,37391400
41443500,88430220,31611700,501499600,49923300,66972000,48750400,11354000,15839500,34254700
29388000,81347773,44319700,587350400,36394700,58162000,47698000,8318000,15671400,25190900
29473500,90971711,83027800,322515200,35840200,53344000,59139200,11228000,23816400,30337500
23199000,87342157,54064800,552448400,34849700,59140000,38939600,13212000,20376000,24174800
26365500,111440145,32400700,582755600,38157500,69060000,35368000,6570000,14750500,22634600
31305000,162370331,40622200,638433600,41432200,73724000,36616800,10267600,15410100,32829500
17250000,115350748,33532600,460250000,51448500,41014000,34292800,7516000,21340800,45966600
17374500,82415761,74540200,468473600,29196700,38780000,31482400,8687200,15098100,37379500
13681500,116912581,44198900,391482000,37667800,37596000,24646400,9571600,14985000,23839100
23692500,64027093,35642100,474236000,36627500,38098000,29974800,6742000,14111600,29120000
19126500,80633104,27569600,465911600,39255200,64924000,31085600,8340800,18411100,25987300
12330000,65898080,39619500,405549200,29093400,37684000,48584000,11021600,21228800,30188200
30315000,66295564,27646400,303875600,55914800,104534000,38330400,14853600,21040700,40479600
49194000,124452737,31597400,643960800,92710300,97318000,35577600,17599600,56178100,59804200
19741500,73807616,26653700,606197200,44809400,54404000,29831200,15162800,20654800,30222300
16477500,84242583,25254200,526775200,51901600,74770000,35548000,17652400,20548800,27264100
21345000,58771467,44006500,308660800,35447800,54778000,34058800,16070400,41088100,24571600
17194500,59325536,24336100,383255600,34233200,56128000,33903200,14883200,132669500,64437700
6603000,59751126,18456300,395105200,28720900,62492000,23247600,18790400,64333500,39902900
35682000,68736680,39199000,501135600,44154000,50278000,36207600,19336800,39694400,36429100
27123000,47854701,26957200,294294000,27824300,48420000,23254000,17264800,29420300,27627800
19444500,86852328,52297400,331237200,36047400,57498000,25494400,13371200,35028500,27760900
17380500,91855009,28585700,442839600,55453800,49474000,34927600,12456400,23676700,28323200
211477500,72562968,22249300,389732000,29201100,50496000,44282800,13235200,18677600,40009200
99786000,81966082,35153300,529519200,28456500,52622000,37152400,9582000,22619600,34098100
84654000,69800653,48195200,363216000,35062800,48276000,35315600,16624800,25545200,30101400
33972000,98270968,82016800,358447600,45263200,39288000,29467600,8903600,18163800,25075100
23286000,137870844,64566600,383695200,50927300,51148000,55135200,7962400,24415300,54767100
25185000,113708616,27256000,300829200,34759500,45912000,32666000,6125600,14134400,22968600
25441500,86615444,21311100,306614000,77733800,43132000,38058400,6004400,30087400,27529500
31816500,79440651,45949400,375928000,71116700,46450000,38468800,8996400,35941000,39308100
51711000,81452163,33368500,328364400,130923200,61810000,96922000,6590000,23080700,35992200
47241000,65713390,28697400,238613200,62886300,57326000,77054800,7076800,18408200,31584600
25221000,98491793,30275400,317520000,56332900,66520000,43042000,10774000,19617500,27961000
47706000,69941178,27365900,305771200,52797300,42744000,46884400,10092000,17310600,32745100
31777500,81785407,26440600,945056000,52840700,62702000,53294800,9543600,25277000,30873000
50518500,133398142,39059000,666299200,56906600,62752000,40254800,21010800,24892500,35401400
45175500,232998073,20380900,609274400,99790700,52050000,30302800,7620400,30391400,51142000
59091000,115768308,25687600,429920400,137904000,42382000,24556800,5403600,18754900,31452800
56007000,92035684,25191500,664238400,59126900,45412000,37694800,6324000,23964900,34873500
39450000,73438237,19729900,969651200,90946600,37056000,55655600,7447200,22601800,55759200
41938500,79986690,17150000,384837600,110700200,122330000,35322400,9322800,25910200,40488500
54331500,99880980,33018000,764097600,47799300,280600000,32433200,6127200,22376200,33713500
54595500,92376959,29201100,640326400,59116400,142340000,26971200,10694400,31381300,29476200
82839000,92613843,36245700,691538400,75165200,84976000,27671200,12161600,50028100,37777300
41142000,58418148,64567600,506909200,54330900,87828000,34131600,12252400,32712000,44773400
45756000,81034603,104257000,421828400,46059500,78724000,32348000,30677200,22992700,54869800
50680500,100880714,58506400,361300800,46784600,70280000,29386400,15026400,23976800,41962700
65500500,85973045,43939400,496641600,40978300,46956000,21711600,13084000,17964500,31315900
149865000,78653713,41259100,483753200,43078300,62674000,44806800,11876400,17955000,55003400
101548500,99102072,34654900,472598000,51595700,53540000,33403200,14449200,21382700,37412500
429075000,88353936,33457200,398487600,46417800,55386000,56680000,11501200,18722100,25790200
376239000,76192522,30847100,334852000,36394900,62906000,86113600,13837600,17364100,26926900
336253500,58157173,29068800,316948800,36027600,42990000,28981200,12480000,12193400,35347200
557458500,63408784,24930300,447118000,56870100,54000000,45414000,16074800,23560400,38494300
253180500,160033605,30299800,741613600,46303900,54410000,31317200,13624400,18360500,55412900
324210000,128865215,35499100,603204000,59382900,32870000,30836800,9913600,25526300,201626500
285033000,112098604,29462700,427904400,60666700,50546000,31211600,13248800,26986800,78569900
125226000,91248746,42402900,451578400,54020800,44180000,23638000,21192000,18326400,54632000
134973000,79617311,26261300,456022000,48702400,34824000,35778400,13422800,19682900,48135200
128520000,102807910,45314500,443038400,66047500,66640000,48040400,19563200,33742400,46836300
180333000,91345105,37663100,353021200,51102700,40006000,39388400,16906000,20442500,44376600
241863000,92216359,58727900,276166800,33174400,33926000,28330400,12306400,22642500,25036200
295378500,90638467,50079700,386145200,48212100,69420000,27930000,9937200,21432200,40023900
376492500,80837869,64237800,330576400,38412200,38068000,33505200,7490400,16004800,37314000
242005500,85145956,60733200,353519600,51131000,33350000,28450400,9628000,17928400,45162100
227580000,79071272,35925000,384302800,56165700,67486000,57750800,12514400,24412100,40885800
287094000,99399181,35733800,372352400,51252600,50878000,44446800,15232400,19782700,30815300
132841500,75024159,34760800,292728800,65529500,41772000,36367600,13528400,20324900,30628500
183372000,84587872,53819700,290589600,46025100,70246000,46452000,12176800,22005600,45742100
142663500,103550684,31260700,416934000,37618500,49526000,34104400,14664800,29158700,44830200
160674000,107385002,38699200,404535600,40757300,92652000,27458400,13899200,20548900,42729400
138429000,93862506,58393000,450153200,35994500,61730000,22414800,13779200,16901500,33779400
110910000,70567517,29885900,286112400,39435900,61956000,29633600,7856400,15274500,28060200
137890500,88522565,26445800,265227200,37372700,44778000,31258800,9994800,13731100,29980300
89424000,83106340,31189300,285832400,45654900,52996000,23625600,9760400,15727400,27238900
98470500,90136592,30677100,271866000,53192600,43016000,23601200,7427200,17551400,29841100
105993000,86173794,33664500,259414400,49670100,57680000,25533600,14779200,19398200,46042800
131929500,87000883,36709100,195025600,28616500,42922000,48677200,7579200,16949300,34939200
128683500,117073180,31790600,310940000,30816200,56550000,115958800,12220800,19408400,29472900
