y_A_0,y_A_1,y_A_2,y_A_3,y_A_4,y_A_5,y_A_6,y_A_7,y_A_8,y_A_9
0.06624583,0.105157934,0.14214653,0.074277565,0.14540863,0.17809276,0.058396455,0.041146453,0.13639447,0.05273334
0.06642453,0.0961708,0.15000907,0.0710875,0.13299967,0.17315546,0.062003717,0.043477565,0.15052468,0.054147024
0.06406899,0.09488615,0.15947045,0.067522906,0.20335545,0.12952584,0.04271151,0.04627606,0.12416677,0.06801592
0.07848823,0.09220533,0.15066497,0.07200199,0.1848983,0.11702316,0.04459693,0.047936667,0.12391798,0.08826637
0.07187045,0.08631836,0.15565388,0.065904684,0.19307809,0.12734473,0.045809474,0.04914925,0.13274968,0.07212138
0.09206003,0.087231256,0.15089273,0.070632,0.13524649,0.13194337,0.060048416,0.04587603,0.15556492,0.07050473
0.06726026,0.08466639,0.16235775,0.060405612,0.16039257,0.14196429,0.0539804,0.04649959,0.16583565,0.056637466
0.079732835,0.091831334,0.14033435,0.06909515,0.15681191,0.15217929,0.05128812,0.04818294,0.14309439,0.06744959
0.07488333,0.0825466,0.13816881,0.070872486,0.1646104,0.16679557,0.048478734,0.055110566,0.13252544,0.06600817
0.09412034,0.09044413,0.12938051,0.07468535,0.14186779,0.16082698,0.051469564,0.05047187,0.13887966,0.06785381
0.08378301,0.08209696,0.14644939,0.06998435,0.14457938,0.15529123,0.053904712,0.051902313,0.14571263,0.06629606
0.09167943,0.09291421,0.14308247,0.075759135,0.151831,0.14541315,0.05377968,0.047316216,0.12857804,0.06964671
0.0886089,0.093641914,0.13648812,0.07691368,0.11260932,0.17087013,0.0643325,0.046284944,0.15277664,0.057473842
0.078449346,0.08896728,0.13465585,0.076604255,0.12523825,0.18968084,0.06281202,0.04909011,0.14222744,0.052274607
0.06842513,0.092579424,0.13291499,0.07234548,0.13591298,0.20802575,0.055881057,0.04740474,0.14114688,0.045363482
0.07064944,0.08992866,0.13904834,0.072714,0.13951206,0.19352195,0.052621137,0.04994818,0.13828067,0.053775627
0.063726634,0.09401072,0.14145403,0.07130366,0.16146213,0.18778555,0.046421576,0.049368724,0.12674397,0.05772305
0.072123595,0.09458222,0.15713234,0.06808539,0.17481597,0.14085826,0.04865289,0.045695923,0.12825881,0.06979455
0.066334635,0.0957069,0.15609655,0.06725521,0.19867676,0.14336075,0.04497242,0.045881644,0.1183579,0.06335727
0.070005104,0.09394397,0.15124136,0.065712936,0.20174012,0.13752635,0.043235842,0.046754394,0.12166369,0.06817626
0.07050687,0.08041814,0.15233056,0.06827853,0.18922123,0.14927132,0.045038506,0.055404954,0.1199177,0.06961222
0.09387012,0.080316894,0.13435686,0.07376079,0.15558225,0.15353927,0.048291676,0.05600652,0.12790301,0.07637261
0.08845799,0.08702568,0.13934323,0.07189883,0.16482517,0.15770039,0.047829214,0.051130123,0.12547737,0.066312015
0.079168424,0.086331524,0.14450793,0.068508096,0.17621301,0.16050677,0.045880873,0.05118786,0.12848641,0.059209105
0.09131226,0.0835658,0.13604788,0.07842052,0.15711449,0.15821639,0.04976629,0.055138916,0.11689931,0.07351821
0.08033719,0.0899753,0.15569903,0.0696676,0.1722334,0.12657368,0.049080394,0.04733316,0.13331987,0.075780384
0.068060234,0.090147786,0.16074648,0.066717066,0.1931958,0.12877953,0.044323623,0.04755451,0.12513389,0.075341165
0.06842097,0.08994008,0.1550137,0.07016096,0.20449682,0.1303392,0.041087136,0.04879444,0.11736244,0.07438433
0.066034414,0.08760299,0.15879315,0.0678575,0.21376783,0.12397631,0.039306246,0.04911962,0.11918011,0.07436176
