y_A_0,y_A_1,y_A_2,y_A_3,y_A_4,y_A_5,y_A_6,y_A_7,y_A_8,y_A_9
0.06863422,0.028481305,0.17385063,0.050056886,0.12677792,0.12496579,0.13090552,0.12236502,0.084543385,0.08941924
0.06869782,0.025763597,0.193857,0.050234735,0.12309939,0.12462661,0.13940464,0.10739177,0.087476134,0.07944823
0.072705925,0.024381666,0.17768836,0.04427455,0.14098524,0.13309433,0.13047476,0.10374518,0.09313089,0.07951909
0.071574345,0.025854774,0.18578982,0.043469194,0.12995137,0.123496905,0.1174845,0.12736347,0.09014377,0.084871866
0.07089432,0.023872737,0.22922745,0.046002842,0.10729886,0.12157617,0.13886984,0.0892226,0.10517861,0.06785655
0.06575496,0.020669268,0.24572134,0.04663369,0.10616791,0.12231248,0.14743805,0.0751106,0.10899813,0.06119354
0.06390721,0.021846134,0.24721129,0.046458114,0.1070692,0.1181148,0.13983452,0.080101,0.113338076,0.06211956
0.06756985,0.024105333,0.22626776,0.047895692,0.10656102,0.13082878,0.13105868,0.096479796,0.103209645,0.06602344
0.061667744,0.024498517,0.22080651,0.046549637,0.10859836,0.119837716,0.11799077,0.13227344,0.08774248,0.0800348
0.07223589,0.022358326,0.19632302,0.040516887,0.13898551,0.12672766,0.11945286,0.11387049,0.0937331,0.075796254
0.06865121,0.02405205,0.20495495,0.04251046,0.12431475,0.11273792,0.12800276,0.11719864,0.0897847,0.08779256
0.07670574,0.026715204,0.16913114,0.044255547,0.12748629,0.13170907,0.12805972,0.12504102,0.081923276,0.088972956
0.07668537,0.02498004,0.17752175,0.04179837,0.13413471,0.12523079,0.13342962,0.11303131,0.08560016,0.08758782
0.07213258,0.026833965,0.18688303,0.046972916,0.114320114,0.1219177,0.1377271,0.11714304,0.08378812,0.092281416
0.07397869,0.026842294,0.17293558,0.045028917,0.12842469,0.12808388,0.127729,0.12182286,0.085222885,0.08993126
0.0696865,0.026142638,0.18365909,0.045703556,0.1256533,0.120930016,0.1381416,0.11085143,0.08751506,0.09171681
0.06953822,0.02793573,0.18305685,0.04880889,0.12031305,0.12911725,0.13412862,0.10953719,0.091917306,0.08564679
0.069705255,0.026754329,0.18733007,0.04775527,0.1255585,0.12425597,0.14590076,0.09501754,0.0954088,0.08231355
0.07080985,0.02801176,0.20229937,0.049033277,0.10637943,0.12654366,0.13644068,0.10751943,0.09328817,0.0796744
0.06915111,0.020768648,0.22635736,0.04140766,0.120258525,0.12098329,0.13914031,0.089640275,0.09914703,0.07314578
0.06448371,0.025076576,0.22548234,0.04421346,0.10585062,0.12005434,0.117206424,0.124355175,0.0964368,0.07684058
0.06452064,0.024400294,0.23165704,0.049598847,0.09801936,0.13006331,0.13354392,0.09499288,0.1036667,0.06953705
0.06787973,0.0245103,0.21751311,0.048351634,0.110400185,0.12605155,0.13179235,0.103947125,0.095413744,0.07414028
0.062447447,0.025136774,0.2175111,0.04713408,0.111323334,0.120030515,0.12166324,0.122811735,0.09303009,0.07891175
0.06366149,0.025973087,0.19485228,0.051177036,0.11241653,0.1299258,0.127476,0.12908287,0.08197265,0.08346219
0.06688489,0.026518188,0.18369116,0.049078237,0.12163049,0.12567356,0.13264905,0.121698685,0.08308985,0.089085914
0.066880845,0.02775497,0.17514995,0.047666725,0.12348159,0.12112627,0.1298814,0.12630926,0.0836586,0.09809037
0.07237516,0.02676435,0.1574645,0.04834808,0.13582046,0.12993036,0.14573611,0.109986424,0.07859557,0.09497896
0.06769833,0.02812298,0.17382355,0.051153343,0.12078017,0.1318326,0.1274226,0.12698011,0.08249149,0.08969473
0.069689155,0.025227893,0.1687231,0.047181647,0.1336453,0.13096306,0.1379276,0.11392642,0.080277674,0.09243809
0.086426295,0.039944395,0.025204917,0.017253082,0.10943592,0.12558039,0.19013849,0.16541156,0.1008536,0.13975134
0.08511595,0.040532134,0.028818179,0.018413184,0.095303565,0.11599508,0.18291554,0.18187708,0.10143145,0.14959799
0.08975721,0.042405125,0.029595675,0.019558197,0.09454173,0.12197213,0.18768905,0.16865262,0.097650826,0.14817742
0.098273724,0.04159845,0.028221657,0.018942986,0.09340109,0.12959544,0.19412783,0.14655955,0.09722866,0.15205067
0.09459266,0.042751234,0.02813307,0.019690704,0.09733258,0.13242038,0.1974478,0.14482047,0.09537521,0.14743589
0.08209196,0.044983733,0.03484316,0.021538984,0.08968774,0.12232156,0.18895935,0.17600115,0.09605145,0.1435209
0.07965198,0.045353763,0.034576483,0.021633543,0.091619395,0.124496475,0.18623722,0.18530989,0.094018236,0.137103
0.08996271,0.044462472,0.032903045,0.020793244,0.08827473,0.13444324,0.18976471,0.15979756,0.09458995,0.14500834
0.07611058,0.047968205,0.036155783,0.022780169,0.09262606,0.1249921,0.19024171,0.17972375,0.091431044,0.13797058
