y_A_0,y_A_1,y_A_2,y_A_3,y_A_4,y_A_5,y_A_6,y_A_7,y_A_8,y_A_9
0.056051414,0.061680283,0.124177285,0.07832693,0.13673715,0.094048426,0.059440214,0.1346336,0.121107124,0.13379757
0.055495325,0.08153505,0.12952304,0.096763864,0.09663155,0.11890354,0.048456397,0.11270683,0.09902714,0.16095728
0.05853573,0.07854916,0.104658134,0.092645526,0.08779609,0.109281436,0.045524295,0.11973074,0.11124225,0.19203663
0.066399,0.082166724,0.101226054,0.093600765,0.07168633,0.08081581,0.052283134,0.11353355,0.105058655,0.23323001
0.06216581,0.06853297,0.15751928,0.07850409,0.07468953,0.08603931,0.04522411,0.08693255,0.095743686,0.24464865
0.058392346,0.07817873,0.12719007,0.09296049,0.08626253,0.11139869,0.047803305,0.11117982,0.09665964,0.18997443
0.058813643,0.072370775,0.17934135,0.08398338,0.076257534,0.10205565,0.04434054,0.0889212,0.07880977,0.21510614
0.06128504,0.06892989,0.19617015,0.08134053,0.073344246,0.096051656,0.050565798,0.07628512,0.0852301,0.21079743
0.06399097,0.07760683,0.14887343,0.089832835,0.092323735,0.087160476,0.053168453,0.09275019,0.09831026,0.19598286
0.060140256,0.073189035,0.14936946,0.08620034,0.07041925,0.10140016,0.045433976,0.09432062,0.0896879,0.22983903
0.07954303,0.085181504,0.129907,0.091735914,0.06914108,0.07259414,0.057810947,0.086549185,0.099773504,0.22776373
0.1016895,0.10540607,0.08715542,0.11299908,0.09834959,0.07153455,0.074714825,0.09122902,0.123357505,0.13356446
0.109922566,0.09708256,0.1192173,0.10208106,0.09759792,0.0631938,0.08980799,0.07424534,0.11631208,0.13053943
0.10369944,0.11713916,0.11384842,0.12427065,0.0776462,0.079493105,0.071882844,0.076851726,0.09427022,0.14089824
0.09122072,0.088566996,0.15178536,0.095628396,0.08918721,0.07820892,0.06529962,0.07696378,0.099298686,0.16384031
0.076558895,0.08270125,0.17795247,0.08913939,0.062408417,0.08328953,0.053897046,0.07237788,0.07852651,0.22314866
0.06447323,0.07280542,0.21260655,0.07817088,0.0731426,0.07485909,0.05170681,0.07619351,0.07392504,0.22211687
0.09089465,0.09342474,0.16812761,0.10309965,0.07325504,0.07493906,0.071572274,0.069242805,0.085704446,0.16973972
0.10856122,0.09034754,0.11699319,0.1004821,0.10091074,0.06079389,0.102594495,0.07405315,0.12109118,0.12417248
0.0904313,0.10316733,0.15190552,0.10390569,0.07983454,0.07271926,0.065635026,0.06761774,0.09488588,0.16989776
0.104141794,0.08270142,0.12288169,0.0905674,0.096519485,0.05805208,0.09869037,0.073051386,0.13216886,0.14122544
0.10217297,0.102191076,0.12774362,0.10402523,0.07246254,0.07303128,0.06951515,0.07014774,0.104821615,0.17388888
0.115831085,0.12064604,0.103641056,0.12723307,0.062851615,0.06954976,0.08541696,0.0631051,0.1048555,0.14686981
0.113163896,0.08537601,0.14475064,0.09678103,0.057409942,0.061974946,0.10600166,0.059355024,0.11319212,0.16199474
0.11405757,0.090389915,0.09744607,0.10112562,0.07576326,0.056731876,0.10885868,0.07686125,0.13634829,0.14241752
0.0987684,0.10160591,0.13284376,0.107229054,0.07192433,0.07845844,0.07340771,0.067951195,0.105894744,0.16191648
0.0865008,0.09659151,0.17140229,0.10209022,0.062919036,0.075219244,0.067157,0.064138,0.08476675,0.18921515
0.09384362,0.08419528,0.14251572,0.09041574,0.09226713,0.06444803,0.09256018,0.07377767,0.117716536,0.14826006
0.10482484,0.09643733,0.10638298,0.096648954,0.10688532,0.055202976,0.11389689,0.07570662,0.1294069,0.11460715
0.09581195,0.09382146,0.13689332,0.09191121,0.07423046,0.05866371,0.08831324,0.07027579,0.11398888,0.17608999
0.1786302,0.060523912,0.1484494,0.06570574,0.082587324,0.073929176,0.13811429,0.034960713,0.106012,0.11108716
0.18618529,0.06676549,0.13811156,0.065991856,0.076619804,0.069231786,0.14504255,0.0360865,0.11510691,0.100858234
0.19323093,0.05751221,0.1406841,0.05612826,0.07198246,0.07408713,0.15191472,0.033726476,0.10422453,0.116509266
