y_A_0,y_A_1,y_A_2,y_A_3,y_A_4,y_A_5,y_A_6,y_A_7,y_A_8,y_A_9
0.09744354,0.030112952,0.13287626,0.044273794,0.06480435,0.23888099,0.069062725,0.081487544,0.064575195,0.17648269
0.09783165,0.032274686,0.14624484,0.042789884,0.0686716,0.21750803,0.0656013,0.08931417,0.058446918,0.18131688
0.09991463,0.032866616,0.13619973,0.042317048,0.07731084,0.22583829,0.06960952,0.09176652,0.059694447,0.16448231
0.10605539,0.032555833,0.14431179,0.04160848,0.07951229,0.21900973,0.06735605,0.08406725,0.058843046,0.16668017
0.113888256,0.032267112,0.13515346,0.045574464,0.06856989,0.22762987,0.06807748,0.07761545,0.058160495,0.17306356
0.093157545,0.03297224,0.13552631,0.044738818,0.06538346,0.22688465,0.069321506,0.10710366,0.058481093,0.16643068
0.10229601,0.033415332,0.12729387,0.045701575,0.07713975,0.21749766,0.071091324,0.10902727,0.058464296,0.1580729
0.11142211,0.029947788,0.13745442,0.05127949,0.043007493,0.25002742,0.06808605,0.08015675,0.063309014,0.1653095
0.117970034,0.032234408,0.13829255,0.055838335,0.048071273,0.2161871,0.068140656,0.11429185,0.060260423,0.14871332
0.10332313,0.030349756,0.13628058,0.058911465,0.037279837,0.208632,0.062399957,0.110558964,0.057213828,0.19505046
0.10814028,0.030812943,0.13420764,0.0576503,0.038983412,0.20813684,0.061635215,0.12169581,0.05642281,0.18231475
0.10396788,0.030466858,0.14952736,0.048453033,0.049574804,0.2085894,0.059603218,0.09024503,0.05591222,0.2036602
0.104136996,0.032084167,0.15289792,0.043353394,0.07100339,0.21006069,0.06576569,0.09810546,0.06083753,0.16175477
0.09509163,0.032917634,0.14088711,0.047360856,0.06328023,0.20212173,0.06499209,0.12921722,0.058364987,0.16576652
0.09510296,0.03290029,0.13770044,0.04749781,0.06833351,0.201986,0.06650963,0.13149388,0.05924226,0.15923321
0.09577175,0.029459316,0.13142072,0.059573658,0.037212178,0.19665305,0.06041509,0.12657528,0.058448963,0.2044701
0.09828284,0.029554173,0.1293217,0.057994176,0.038899366,0.2062577,0.060807116,0.117373735,0.056927122,0.20458205
0.10092478,0.028775055,0.13667971,0.055157185,0.03939613,0.20833223,0.05798773,0.08493462,0.055305164,0.2325074
0.116840966,0.032125644,0.13863,0.05617484,0.043490972,0.212918,0.06468348,0.111950785,0.060077175,0.16310821
0.11702738,0.031710427,0.13594039,0.05311939,0.046035867,0.23553978,0.0674888,0.0960587,0.0659839,0.15109533
0.121961296,0.032302618,0.13451487,0.053212296,0.047663856,0.23179308,0.06708542,0.096158296,0.064976305,0.150332
0.114177726,0.032488197,0.13756399,0.059850357,0.036709543,0.20842609,0.06353919,0.12548466,0.057067346,0.16469291
0.12143416,0.03241412,0.13836679,0.06069147,0.042034045,0.19883318,0.06350231,0.13066229,0.05933495,0.15272665
0.10256623,0.032686155,0.14170012,0.044599455,0.05828264,0.22197579,0.06656733,0.103417926,0.06491903,0.16328532
0.104695834,0.028655522,0.1440093,0.05547163,0.036978945,0.20198046,0.054975033,0.08818003,0.054869,0.23018421
0.10021805,0.030197583,0.13420223,0.059706233,0.03817557,0.18951231,0.058765788,0.13161002,0.05563076,0.20198141
0.116666615,0.030961888,0.13680574,0.059577037,0.041331485,0.20398681,0.063402705,0.11860706,0.063434236,0.16522647
0.10806428,0.030289717,0.1371977,0.05352646,0.038459312,0.2318325,0.06310164,0.09505479,0.06346858,0.179005
0.11957891,0.03129885,0.14061026,0.054619495,0.043533463,0.21449159,0.06303986,0.10121155,0.060342513,0.17127357
0.096156426,0.032195847,0.14240983,0.04894689,0.05499132,0.20435435,0.062992714,0.12293395,0.05643804,0.17858057
0.03685614,0.07979,0.25113103,0.052362166,0.11793656,0.124534585,0.045752317,0.18206556,0.057599664,0.05197197
0.055912696,0.07207595,0.23891917,0.047413316,0.13296682,0.13333389,0.06742739,0.12396693,0.07806247,0.049921285
0.052446757,0.076822825,0.2355686,0.049735833,0.13144395,0.12947498,0.06591222,0.1292504,0.076764,0.052580446
0.039083447,0.07591204,0.21815832,0.048975054,0.12473964,0.13294868,0.052948505,0.19518572,0.064941935,0.047106687
0.047070846,0.076798394,0.2276192,0.05017379,0.13145405,0.13321371,0.06309542,0.14948131,0.07087245,0.050220836
0.03829702,0.075743966,0.21926364,0.048630916,0.12446061,0.12893891,0.05303408,0.19619204,0.066874914,0.048563924
0.036785845,0.0745961,0.23959473,0.047316797,0.12442622,0.12492228,0.049702164,0.18848535,0.062901534,0.051269047
0.031584315,0.08128243,0.24275301,0.049226668,0.1185795,0.11192362,0.042994484,0.20649578,0.060758725,0.0544015
0.03530115,0.08041623,0.25650027,0.05474322,0.10266276,0.11223656,0.049933575,0.1697473,0.06861803,0.069840916
0.037078373,0.08777347,0.26488775,0.054181635,0.11504857,0.10690335,0.046507273,0.15954426,0.063842304,0.06423311
0.031156298,0.08406583,0.2614604,0.05744471,0.095899925,0.104060605,0.04248585,0.18806465,0.06366935,0.07169242
0.03939024,0.08344812,0.27254272,0.055453576,0.10166449,0.10567374,0.052082628,0.14109229,0.0731584,0.07549379
0.037604887,0.09143353,0.27791974,0.058553737,0.09611589,0.10362201,0.046449933,0.14757659,0.06796935,0.07275434
0.03208505,0.08340956,0.25413677,0.05957342,0.08474384,0.10454168,0.046554364,0.1781172,0.07318863,0.08364949
0.03588844,0.07611302,0.25369787,0.052756693,0.10220306,0.10809936,0.051822834,0.1735323,0.07271825,0.07316817
0.051212266,0.069940425,0.2558678,0.047786437,0.11306281,0.12546799,0.06964219,0.12381912,0.085604206,0.057596676
0.050396312,0.073243216,0.25224563,0.04993645,0.11245745,0.12468764,0.067487285,0.1322562,0.07964511,0.057644676
0.041296236,0.0747042,0.23639788,0.047376085,0.1323708,0.117623754,0.055146545,0.17260933,0.06902618,0.053449005
0.040622275,0.078607276,0.2510983,0.05491962,0.10902193,0.11328081,0.056095857,0.15974627,0.07340728,0.06320029
0.04713507,0.08019694,0.25203073,0.05068569,0.1426224,0.10476038,0.05760507,0.12592678,0.07636598,0.062670976
0.04719119,0.08234972,0.275748,0.05977025,0.120863125,0.09404912,0.05486454,0.11179851,0.077733696,0.075631805
0.03772219,0.09335482,0.26227194,0.057545997,0.13188699,0.09413729,0.044979513,0.14318655,0.066440426,0.06847434
0.04701633,0.07566283,0.24151762,0.051614475,0.115393065,0.12102144,0.06426294,0.14431833,0.077418216,0.061774723
0.0395065,0.08030579,0.22806728,0.059525535,0.09741609,0.115163185,0.056766167,0.17211948,0.07519699,0.07593308
0.049750455,0.07763029,0.2523717,0.05896712,0.110875614,0.11473146,0.06196038,0.12912811,0.07592484,0.068660095
0.048574656,0.083890855,0.24120638,0.056656536,0.11848041,0.11676208,0.05866746,0.13015194,0.07761724,0.06799246
0.047598645,0.07877331,0.25789276,0.050122313,0.124783225,0.12440992,0.056897927,0.13830335,0.067575015,0.05364357
0.039777335,0.07795277,0.23366295,0.05646338,0.09429843,0.12939662,0.056336023,0.17134853,0.07439171,0.06637225
0.04216616,0.073429465,0.22824837,0.050197072,0.118055336,0.1297775,0.05665907,0.1758849,0.07052853,0.055053554
0.04414777,0.079288915,0.25976464,0.04953367,0.11405746,0.127373,0.055940524,0.14371836,0.07129527,0.054880373
0.05094008,0.059007037,0.09531881,0.06459477,0.12759773,0.19277486,0.1612279,0.052873928,0.10406847,0.09159653
0.052920982,0.060233172,0.092411,0.066778556,0.12427826,0.18906811,0.15188329,0.05782497,0.10362538,0.10097632
0.052557863,0.060018823,0.09042764,0.06579026,0.12885454,0.1856042,0.15529881,0.05825689,0.10556042,0.09763056
0.052786756,0.062249538,0.09116802,0.06872779,0.12817296,0.1815318,0.15230381,0.057657115,0.10749235,0.097909845
0.053584974,0.06518577,0.09256282,0.073664404,0.123373024,0.17793135,0.14570042,0.05768655,0.10872297,0.10158762
0.05384641,0.0657021,0.092244536,0.07290072,0.124518186,0.17662522,0.14665931,0.05794665,0.10971081,0.09984609
0.04826677,0.072801374,0.07079491,0.079938084,0.15324587,0.1343207,0.15981767,0.05795358,0.14348446,0.07937664
0.051323637,0.07163085,0.0790978,0.077611685,0.1477782,0.15064262,0.15293948,0.057936333,0.12749982,0.083539665
0.049111027,0.07128714,0.06931679,0.07545932,0.15465258,0.15212072,0.15439634,0.06255224,0.12711252,0.083991274
0.047048394,0.069709554,0.0686576,0.07542886,0.16250074,0.1421487,0.16041857,0.062099345,0.13055368,0.081434585
0.0480352,0.07473424,0.06495384,0.08197437,0.16238314,0.14438762,0.15049608,0.061935507,0.13128704,0.07981292
0.051612444,0.06676381,0.07901755,0.071570985,0.14073052,0.16651833,0.15614991,0.06097027,0.1171097,0.08955648
0.052108694,0.06537178,0.0813189,0.072089344,0.13450137,0.1742418,0.1535114,0.060155023,0.11144266,0.09525905
0.051945478,0.06340637,0.08178047,0.07014255,0.13324,0.17673601,0.15569541,0.05924503,0.11009774,0.09771088
0.05336294,0.0683413,0.088051796,0.07637853,0.12910923,0.17515567,0.14557451,0.05631993,0.11078016,0.09692599
0.053958185,0.06501757,0.08887461,0.071560875,0.13416417,0.17782037,0.15090868,0.055147003,0.10990819,0.09264028
0.053322338,0.061043736,0.08877629,0.0677847,0.1263087,0.18426426,0.1545786,0.05844296,0.10658099,0.09889745
