Date,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,close,high,low,volume,vwap,returns,y_A_0,y_A_1,y_A_2,y_A_3,y_A_4,y_A_5,y_A_6,y_A_7,y_A_8,y_A_9
,,,,,,,,,,,,,,,,,0.111688405,7.4446706e-11,0.042293224,1.3789523e-11,0.09048079,6.135125e-07,0.11317602,1.5222117e-08,0.34986544,0.2924955
,,,,,,,,,,,,,,,,,0.11224778,7.451396e-11,0.04250255,1.3867025e-11,0.09157314,6.146321e-07,0.113110766,1.54441e-08,0.3493489,0.2912162
,,,,,,,,,,,,,,,,,0.112793304,7.5002414e-11,0.042984456,1.3822705e-11,0.09235067,6.1172597e-07,0.11182877,1.5430281e-08,0.34977543,0.2902667
,,,,,,,,,,,,,,,,,0.11270046,7.5069354e-11,0.043070238,1.3776635e-11,0.09191773,6.0961736e-07,0.111212105,1.5272654e-08,0.3502986,0.29080024
,,,,,,,,,,,,,,,,,0.11261878,7.524993e-11,0.043057777,1.3736899e-11,0.091910474,6.076852e-07,0.111008294,1.5240518e-08,0.35078847,0.29061562
,,,,,,,,,,,,,,,,,0.11211237,7.6445794e-11,0.043978333,1.3779737e-11,0.091548264,6.027594e-07,0.110300496,1.5339978e-08,0.3518703,0.29018962
,,,,,,,,,,,,,,,,,0.11658314,0.061892778,0.056700025,0.04666731,0.2561953,1.4778198e-06,0.0020937857,0.06344091,0.086395234,0.31003004
,,,,,,,,,,,,,,,,,0.14051394,0.06274737,0.054251585,0.050823867,0.22930089,2.0920186e-06,0.0020150593,0.060282413,0.08623527,0.31382754
,,,,,,,,,,,,,,,,,0.14527531,0.05689611,0.049088154,0.043762688,0.24852408,1.857449e-06,0.0020260713,0.06421561,0.09174325,0.2984669
,,,,,,,,,,,,,,,,,0.15002784,0.049265258,0.04207723,0.036154483,0.27075553,1.6526126e-06,0.0021480217,0.072516285,0.10319944,0.27385426
,,,,,,,,,,,,,,,,,0.14810191,0.04428007,0.040136196,0.035228286,0.2726583,1.7827524e-06,0.0020562306,0.07108424,0.10589981,0.2805532
,,,,,,,,,,,,,,,,,0.14927827,0.050418068,0.043720797,0.038215905,0.2671679,1.8535442e-06,0.0021454042,0.069446534,0.104095526,0.2755098
,,,,,,,,,,,,,,,,,0.047240015,4.7645854e-06,0.0687919,3.1970283e-06,0.06756612,4.3632398e-10,2.9339034e-10,0.39838728,0.0024699129,0.41553673
,,,,,,,,,,,,,,,,,0.046665624,5.2185715e-06,0.06644092,3.5558492e-06,0.06361905,5.049997e-10,2.9876274e-10,0.40694767,0.0023107307,0.41400725
,,,,,,,,,,,,,,,,,0.04725489,5.153922e-06,0.06707452,3.5219668e-06,0.06475394,4.916405e-10,3.0478714e-10,0.40481436,0.0023256051,0.4137679
,,,,,,,,,,,,,,,,,0.046605427,5.382217e-06,0.06751221,3.64104e-06,0.06542763,5.1732973e-10,3.0755073e-10,0.41638398,0.0023138663,0.4017479
,,,,,,,,,,,,,,,,,0.04745537,4.9572027e-06,0.06890299,3.369472e-06,0.06902746,4.7342974e-10,3.059568e-10,0.40866053,0.0024447364,0.40350062
,,,,,,,,,,,,,,,,,0.048118424,5.8430805e-06,0.06300558,4.351474e-06,0.061568394,6.404791e-10,3.3035513e-10,0.4320208,0.0021196243,0.39315695
,,,,,,,,,,,,,,,,,0.018457443,0.139108,1.9577699e-12,0.13895698,1.2087058e-08,0.16802014,0.20653729,0.25093323,1.968813e-12,0.077986844
,,,,,,,,,,,,,,,,,0.021553772,0.1255638,2.3059948e-12,0.12359685,1.375618e-08,0.15522532,0.2106674,0.27397528,2.1341412e-12,0.08941759
,,,,,,,,,,,,,,,,,0.023608869,0.115291044,2.4295902e-12,0.11720561,1.4040166e-08,0.14126307,0.21145152,0.2977108,2.2691321e-12,0.09346906
,,,,,,,,,,,,,,,,,0.025342286,0.11455681,2.7516446e-12,0.11045983,1.5064403e-08,0.1399847,0.20991941,0.2944059,2.3476835e-12,0.10533097
,,,,,,,,,,,,,,,,,0.042012278,0.07717939,4.523596e-12,0.07536874,2.0287887e-08,0.094379276,0.19967577,0.36876312,2.9429144e-12,0.14262143
,,,,,,,,,,,,,,,,,0.02882591,0.104463525,2.9951222e-12,0.10245172,1.6482755e-08,0.12588528,0.21637917,0.3156012,2.6250991e-12,0.10639312
,,,,,,,,,,,,,,,,,2.0188853e-08,1.2513064e-12,0.006066898,2.4374323e-13,0.0031541164,3.6845445e-18,1.2796207e-11,0.5006108,0.23145033,0.25871783
,,,,,,,,,,,,,,,,,0.0062442315,0.18079564,6.3195e-16,0.1960169,9.340458e-11,0.38919798,0.14193493,0.0058768597,5.9662506e-15,0.07993348
,,,,,,,,,,,,,,,,,0.0064360425,0.18267149,6.4894545e-16,0.19816138,9.408883e-11,0.38130474,0.14183946,0.006165369,6.2437196e-15,0.083421454
,,,,,,,,,,,,,,,,,1.8942618e-08,1.3304023e-12,0.005450685,2.8157026e-13,0.002798226,3.9178347e-18,1.300127e-11,0.5194275,0.19664805,0.27567554
,,,,,,,,,,,,,,,,,2.0622482e-08,1.1785281e-12,0.006217668,2.2126662e-13,0.0032320023,3.414645e-18,1.2205679e-11,0.48473474,0.2532538,0.2525617
,,,,,,,,,,,,,,,,,2.238531e-08,1.0229444e-12,0.007439523,1.9364064e-13,0.0035839353,3.2040487e-18,1.0959055e-11,0.44206598,0.3032839,0.24362668
,,,,,,,,,,,,,,,,,3.366064e-08,7.413774e-12,0.26241228,2.0342762e-12,0.086595155,9.982897e-18,1.4534858e-11,0.1927753,0.29100275,0.1672145
,,,,,,,,,,,,,,,,,3.563782e-08,7.3516115e-12,0.25092617,2.1844607e-12,0.081131116,9.868052e-18,1.4847009e-11,0.20453641,0.2840078,0.1793985
,,,,,,,,,,,,,,,,,3.3960006e-08,7.475124e-12,0.27753705,2.037669e-12,0.086195536,1.0519609e-17,1.48645e-11,0.18603386,0.28465438,0.16557911
,,,,,,,,,,,,,,,,,3.567779e-08,7.274056e-12,0.25492758,2.1644522e-12,0.083148845,9.941098e-18,1.4822045e-11,0.20361929,0.28215402,0.17615023
,,,,,,,,,,,,,,,,,3.6819497e-08,7.8974735e-12,0.2515785,2.454024e-12,0.07641674,1.0860517e-17,1.617967e-11,0.20977038,0.26992562,0.19230874
,,,,,,,,,,,,,,,,,3.7168036e-08,7.89198e-12,0.22386411,2.5855136e-12,0.06884949,1.08316605e-17,1.6534735e-11,0.23720849,0.2575507,0.21252725
,,,,,,,,,,,,,,,,,3.0789813e-09,2.080688e-15,0.26323977,5.785714e-16,0.314673,1.1466745e-22,1.4504764e-17,0.21959706,0.17584157,0.026648592
,,,,,,,,,,,,,,,,,0.065170445,6.5884453e-10,5.5416745e-20,5.168914e-10,9.57229e-16,5.0108542e-06,0.00040085497,0.3992174,1.3435974e-12,0.53520626
,,,,,,,,,,,,,,,,,3.2464977e-09,2.1893134e-15,0.24858236,6.201634e-16,0.3059533,1.2229607e-22,1.579858e-17,0.23205109,0.18346094,0.02995233
,,,,,,,,,,,,,,,,,3.13461e-09,2.1119301e-15,0.2591494,5.920273e-16,0.31195265,1.1728954e-22,1.4864996e-17,0.22366393,0.17757356,0.027660467
,,,,,,,,,,,,,,,,,3.162509e-09,2.1446756e-15,0.2556631,6.01131e-16,0.30968842,1.1827908e-22,1.5157681e-17,0.22693533,0.17948304,0.028230103
,,,,,,,,,,,,,,,,,0.33757597,3.2426065e-08,5.5270044e-22,2.387207e-08,4.9002732e-17,0.004692042,0.040494185,0.40111005,6.784822e-14,0.21612774
,,,,,,,,,,,,,,,,,0.023347963,4.517966e-13,1.5779873e-27,2.9017468e-13,1.5663863e-22,0.26999846,0.19522963,0.16945839,9.777872e-14,0.34196556
,,,,,,,,,,,,,,,,,0.024911495,2.901233e-13,2.570219e-27,1.989386e-13,2.0879132e-22,0.19846568,0.1804192,0.22081615,1.8587485e-13,0.37538743
,,,,,,,,,,,,,,,,,0.024451368,3.6066755e-13,2.0917408e-27,2.4242912e-13,1.8620208e-22,0.23189346,0.19099134,0.19428378,1.3769133e-13,0.35838008
,,,,,,,,,,,,,,,,,0.02441236,3.5722177e-13,2.1684796e-27,2.3715085e-13,1.9074427e-22,0.22537094,0.19005267,0.19804615,1.4542768e-13,0.36211792
,,,,,,,,,,,,,,,,,0.024215994,3.4748075e-13,2.0246514e-27,2.3177914e-13,1.8338196e-22,0.22815144,0.18594913,0.1992969,1.4127061e-13,0.36238652
,,,,,,,,,,,,,,,,,0.023087673,4.8660343e-13,1.4350956e-27,3.073046e-13,1.5167676e-22,0.27851614,0.19969717,0.16293088,8.717682e-14,0.3357682
,,,,,,,,,,,,,,,,,1.3088568e-11,1.2046323e-16,0.46163303,4.3806496e-17,0.18785769,6.2013188e-24,1.4298317e-17,0.0021160974,0.32710516,0.021288065
,,,,,,,,,,,,,,,,,1.2362395e-11,1.126074e-16,0.4777349,4.1591733e-17,0.18602484,5.4967848e-24,1.25634565e-17,0.0020306248,0.3141462,0.020063516
,,,,,,,,,,,,,,,,,1.2444055e-11,1.1181781e-16,0.47996053,4.1326264e-17,0.18733205,5.4022717e-24,1.21643105e-17,0.0020609463,0.31056494,0.020081554
,,,,,,,,,,,,,,,,,1.2826153e-11,1.2152957e-16,0.47127393,4.316311e-17,0.18974906,5.84843e-24,1.32441914e-17,0.0022128602,0.31569305,0.021071142
,,,,,,,,,,,,,,,,,1.42707434e-11,1.583711e-16,0.43543065,4.9174435e-17,0.19613607,7.785995e-24,1.8229714e-17,0.0026654375,0.3411482,0.024619693
,,,,,,,,,,,,,,,,,1.5453859e-11,1.793485e-16,0.40769404,5.2521747e-17,0.19435912,9.4177875e-24,2.2520747e-17,0.0027971126,0.36800396,0.027145714
,,,,,,,,,,,,,,,,,8.939849e-14,2.03011e-20,0.20730072,5.3488285e-21,0.31862518,2.5744874e-27,2.385748e-20,0.0007331814,0.4524929,0.020847976
,,,,,,,,,,,,,,,,,2.6634e-12,4.381417e-19,0.009935276,2.601455e-19,0.075410254,8.308166e-25,1.02259235e-17,0.10099898,0.14287661,0.67077893
,,,,,,,,,,,,,,,,,0.00048013715,1.2725468e-07,1.1029662e-28,3.2721576e-07,1.8368596e-23,0.096962176,0.1987403,0.62244296,2.053473e-19,0.0813739
,,,,,,,,,,,,,,,,,0.0005011926,1.3323569e-07,8.9182305e-29,3.8685653e-07,1.4793337e-23,0.13225146,0.21634606,0.57622993,1.7161523e-19,0.07467085
,,,,,,,,,,,,,,,,,1.0644485e-13,2.1768705e-20,0.196532,6.091688e-21,0.3098611,2.8517337e-27,2.6611106e-20,0.00089733937,0.46680883,0.025900703
,,,,,,,,,,,,,,,,,0.0005291731,1.4932056e-07,1.1341315e-28,4.040986e-07,1.8351325e-23,0.11840619,0.21419868,0.5912072,1.9202154e-19,0.0756582
,,,,,,,,,,,,,,,,,4.6832394e-08,8.460124e-11,1.1312316e-31,1.6752277e-10,9.081761e-25,0.26843247,0.0010008295,0.25049168,5.8878016e-13,0.4800749
,,,,,,,,,,,,,,,,,4.4081887e-08,8.588024e-11,1.8157885e-31,1.7013972e-10,1.6265135e-24,0.22026175,0.0010835424,0.26362532,1.0373182e-12,0.5150293
,,,,,,,,,,,,,,,,,4.5304798e-08,8.40931e-11,2.9908274e-31,1.6029175e-10,2.5462923e-24,0.17629248,0.001155137,0.26458883,1.7380116e-12,0.55796355
,,,,,,,,,,,,,,,,,4.3698115e-08,8.271754e-11,2.112679e-31,1.6314425e-10,1.8372221e-24,0.19880731,0.0010685105,0.26511267,1.2346913e-12,0.5350114
,,,,,,,,,,,,,,,,,4.7173746e-08,8.570691e-11,1.5395406e-31,1.6212527e-10,1.1149036e-24,0.23958111,0.0010118221,0.24424633,7.4239307e-13,0.5151607
,,,,,,,,,,,,,,,,,4.340735e-08,8.263677e-11,3.260418e-31,1.5475522e-10,2.7957489e-24,0.16940075,0.0011193949,0.25823137,1.791062e-12,0.5712485
,,,,,,,,,,,,,,,,,8.655926e-10,0.0022714906,1.2499204e-19,0.010778391,1.8037158e-17,0.00016198365,0.16768366,0.45258677,3.9144638e-10,0.3665177
,,,,,,,,,,,,,,,,,9.887425e-10,0.0025910903,1.03095985e-19,0.010774471,1.3779057e-17,0.00017870493,0.1860092,0.44278243,3.086928e-10,0.3576641
,,,,,,,,,,,,,,,,,2.2053205e-13,1.4210848e-19,0.049694527,6.610095e-20,0.14184749,1.625761e-27,1.2909598e-18,0.5756582,0.13539173,0.09740802
,,,,,,,,,,,,,,,,,6.129596e-10,0.0011226943,1.3452911e-19,0.0060995375,2.0510837e-17,7.6322816e-05,0.108106166,0.48312807,4.9611065e-10,0.40146723
,,,,,,,,,,,,,,,,,9.1186947e-10,0.002412959,1.2436168e-19,0.011227415,1.7394774e-17,0.0001674551,0.17546226,0.4502854,3.7102438e-10,0.3604445
,,,,,,,,,,,,,,,,,8.347096e-10,0.0021271796,1.2401755e-19,0.01019522,1.7995453e-17,0.00015278863,0.16072705,0.45307767,3.973745e-10,0.37372014
,,,,,,,,,,,,,,,,,2.3910854e-10,3.134227e-07,3.942114e-36,1.3222194e-06,4.991723e-30,0.18700682,4.8970065e-07,0.28947395,3.1731833e-17,0.52351713
,,,,,,,,,,,,,,,,,2.2007046e-10,3.1110287e-07,6.5704925e-36,1.2759244e-06,7.2310665e-30,0.12697901,4.668506e-07,0.30852327,4.734309e-17,0.5644957
,,,,,,,,,,,,,,,,,2.2717582e-10,3.1491714e-07,5.0000643e-36,1.3239188e-06,6.023981e-30,0.15440315,4.8698166e-07,0.29778907,3.9893578e-17,0.54780567
,,,,,,,,,,,,,,,,,1.7216302e-14,2.5129757e-23,0.0015722339,1.059957e-23,0.0016674274,1.3794645e-28,1.6997268e-18,0.5194155,0.10686455,0.37048027
,,,,,,,,,,,,,,,,,2.5072178e-10,3.0843592e-07,2.79283e-36,1.3135838e-06,3.486473e-30,0.25473052,4.836614e-07,0.26541236,1.9822837e-17,0.47985503
,,,,,,,,,,,,,,,,,2.438845e-10,3.1812652e-07,3.488897e-36,1.3649302e-06,4.474346e-30,0.2096875,4.959211e-07,0.28284213,2.7037712e-17,0.50746816
,,,,,,,,,,,,,,,,,2.8143942e-11,2.5313059e-06,4.9453203e-36,4.786983e-06,9.441953e-28,0.0032112356,1.8303863e-08,0.43679717,2.937261e-18,0.55998427
