y_A_0,y_A_1,y_A_2,y_A_3,y_A_4,y_A_5,y_A_6,y_A_7,y_A_8,y_A_9
0.049363412,0.058379307,0.03397341,0.069346175,0.009271614,0.18255346,0.0901244,0.23543583,0.07743915,0.19411328
0.053550225,0.06337708,0.028341979,0.06878499,0.009195024,0.21717535,0.08069055,0.19160508,0.08906595,0.19821379
0.048523404,0.06305908,0.030757943,0.06722946,0.009918698,0.1952634,0.08064302,0.21695039,0.08934669,0.1983079
0.051338244,0.0665159,0.028209906,0.066620514,0.009397679,0.2221059,0.07766065,0.19079219,0.089282654,0.1980763
0.045590777,0.067695126,0.030239085,0.06710328,0.010261744,0.2092229,0.07465411,0.21861465,0.08441111,0.19220716
0.045641504,0.06405821,0.03266565,0.067969725,0.009918532,0.19820252,0.08011335,0.23334788,0.07714391,0.19093879
0.052417144,0.063815765,0.029006653,0.06760345,0.008686171,0.2258812,0.08392063,0.1919579,0.08015886,0.19655226
0.046771508,0.06334213,0.03240886,0.067975886,0.009512638,0.20149218,0.08206392,0.22834739,0.07635432,0.1917312
0.04757471,0.06281106,0.031155856,0.0685018,0.009571537,0.20394361,0.08032134,0.22195584,0.08022421,0.19394009
0.049733482,0.061309822,0.03143017,0.06854113,0.008792515,0.20918195,0.0863982,0.21530764,0.07546126,0.19384375
0.050750658,0.064813286,0.02944088,0.06712938,0.00883416,0.22270158,0.08222299,0.19861466,0.079885446,0.19560692
0.04786273,0.06394722,0.030780235,0.068204805,0.009345844,0.21023461,0.080535546,0.2150274,0.07828507,0.19577649
0.048521914,0.064750366,0.029961806,0.06639201,0.009252041,0.21476567,0.08007875,0.20698297,0.08329813,0.19599624
0.051293705,0.058515716,0.032304753,0.06822836,0.0093807075,0.18004932,0.08588113,0.2233022,0.09059561,0.20044851
0.045740277,0.06083195,0.034606114,0.069590144,0.010557701,0.17442238,0.07928561,0.25343937,0.08149075,0.19003573
0.047184434,0.062086813,0.032930378,0.06902494,0.009935532,0.18795414,0.08163179,0.2351997,0.080507845,0.19354457
0.046431217,0.06582282,0.031813107,0.06798695,0.009943994,0.20185243,0.07891431,0.22710499,0.079637714,0.19049244
0.051684976,0.06511101,0.029044393,0.066916175,0.009240727,0.21537708,0.080599755,0.19708699,0.08806417,0.19687475
0.046580493,0.06692767,0.03058058,0.06656022,0.009733985,0.21044289,0.07745512,0.21627495,0.081959546,0.19348449
0.050275132,0.063624166,0.03040199,0.06728876,0.009772537,0.19624789,0.0794316,0.21204823,0.09198582,0.19892383
0.047805,0.06407693,0.03059538,0.06769851,0.009744073,0.20344001,0.07930533,0.21557999,0.08443203,0.1973227
0.05110104,0.062020138,0.030303467,0.06811336,0.009033069,0.20518431,0.08317663,0.20650564,0.08476281,0.19979948
0.05290623,0.061615836,0.029741924,0.06776369,0.008765507,0.21261181,0.08511435,0.19936125,0.084610164,0.19750927
0.054122344,0.061332073,0.02941073,0.06863248,0.008487669,0.2181074,0.08815925,0.19202869,0.07998253,0.19973685
0.049636032,0.05874136,0.0321853,0.069210775,0.008854571,0.19924445,0.089504585,0.22008875,0.075821556,0.19671258
0.045958683,0.060375217,0.034484897,0.06946096,0.01013252,0.17967205,0.08243504,0.24835405,0.07778707,0.19133946
0.04653583,0.06137138,0.03333857,0.06902665,0.009836549,0.18686253,0.08219032,0.23785615,0.0788999,0.19408207
0.045493513,0.061785907,0.03435298,0.069632396,0.01037665,0.1810253,0.081194736,0.24896693,0.077469796,0.18970186
0.04989709,0.062607944,0.030665228,0.068543464,0.009231134,0.2062552,0.08298757,0.21182892,0.0812255,0.19675799
0.050568838,0.0620614,0.030927408,0.06768251,0.008915821,0.20652029,0.08620594,0.21007915,0.08018217,0.19685647
0.19448921,0.13777544,0.032364856,0.16283593,0.051843006,0.1936643,0.04427204,0.05479763,0.028161518,0.09979605
0.1731039,0.13598792,0.032527555,0.17434873,0.049627073,0.19313826,0.04640336,0.05511345,0.02816455,0.11158525
0.18243487,0.13760962,0.03248971,0.16128927,0.050600484,0.1993981,0.043563027,0.0542002,0.027787795,0.11062683
0.17201355,0.13750887,0.033431612,0.17451584,0.04837177,0.19036447,0.04620817,0.05484106,0.028077802,0.11466685
0.17765908,0.1391066,0.03347534,0.16313207,0.04989085,0.19688383,0.04356403,0.053935733,0.027551232,0.11480123
0.15999827,0.13850452,0.032158967,0.18171751,0.046391193,0.19788511,0.042586837,0.054977614,0.028785067,0.1169948
0.1821243,0.14114228,0.031244608,0.16122353,0.04922114,0.20708393,0.040040337,0.054442365,0.028695134,0.10478239
0.18059489,0.14168702,0.031571902,0.16457725,0.04856302,0.20497595,0.039970648,0.05448808,0.028310498,0.10526077
0.18485576,0.13987492,0.03145858,0.16884063,0.049251348,0.19901517,0.041135535,0.054312304,0.029269375,0.10198636
0.17074275,0.13899337,0.032873306,0.18140382,0.04877102,0.18906371,0.044610895,0.055571023,0.02937619,0.10859399
0.19056761,0.13803306,0.032994978,0.16498958,0.052410934,0.18994768,0.044839546,0.054341476,0.028333036,0.10354213
0.19668192,0.13866518,0.03303645,0.16477868,0.052460197,0.18788047,0.044977315,0.05501671,0.028972607,0.09753058
0.19708018,0.13936362,0.03194861,0.16279666,0.051799793,0.19440967,0.042744357,0.054375645,0.028780624,0.096700914
0.18429595,0.14107837,0.03234821,0.16970225,0.04945822,0.19462295,0.042121865,0.05484499,0.027875025,0.10365218
0.18743807,0.13964118,0.031987954,0.16867469,0.049211476,0.19346705,0.04299492,0.054693483,0.028648265,0.10324297
0.19676204,0.1385195,0.0319079,0.1631189,0.05219397,0.19230808,0.04342746,0.054352537,0.029099505,0.09831015
0.18484068,0.13634789,0.032171972,0.17499442,0.05138655,0.18751216,0.046199307,0.054875463,0.02983676,0.10183474
0.179177,0.13621321,0.030835308,0.17281441,0.050232787,0.1990129,0.043001097,0.05445259,0.02993778,0.10432279
0.17490537,0.13828012,0.03163292,0.16595377,0.0502093,0.20415835,0.04207582,0.05467194,0.028474309,0.109638125
0.17741121,0.13851032,0.030907225,0.1662068,0.049438693,0.20753294,0.0411942,0.055088278,0.028583977,0.105126195
0.18416825,0.13799334,0.030712856,0.17235826,0.05007534,0.19923106,0.04196864,0.05492359,0.029537218,0.09903147
0.17804573,0.13753189,0.031420793,0.17070757,0.051121667,0.19750735,0.04316202,0.054564726,0.029258318,0.10667989
0.19154821,0.1364317,0.03275722,0.17523102,0.05172442,0.1830142,0.046788402,0.05582569,0.030222047,0.09645715
0.2084038,0.13870822,0.030467914,0.15783511,0.053803198,0.19617654,0.041156605,0.053803567,0.030878955,0.088766046
0.19415359,0.14047162,0.03172319,0.15296194,0.051895294,0.20657954,0.040577088,0.054187372,0.028273309,0.09917708
0.17373678,0.13852899,0.031183286,0.1629052,0.049438912,0.21080542,0.041024316,0.055310417,0.02818171,0.10888495
0.1745925,0.13957183,0.031839836,0.16321808,0.05039005,0.20562041,0.04091611,0.05452132,0.028531134,0.11079871
0.16387266,0.1363884,0.032799553,0.17757708,0.04886056,0.19371368,0.045543704,0.05487935,0.028671095,0.117694
0.18346973,0.1379728,0.032638215,0.16292305,0.051049184,0.19703043,0.043704838,0.054168236,0.028458936,0.10858461
0.17196935,0.13824858,0.032323085,0.17994125,0.048028722,0.19216672,0.04410897,0.05532617,0.02959648,0.108290695
0.19202505,0.18384266,0.020107627,0.18125433,0.028296402,0.29512197,0.015305627,0.027137099,0.012263606,0.044645604
0.1999755,0.18422215,0.019279545,0.17885816,0.027370233,0.2926231,0.014585654,0.027262188,0.013571074,0.042252395
0.19748288,0.17871395,0.018188884,0.17735265,0.028608032,0.3047393,0.01480221,0.026519725,0.013397117,0.040195264
0.20060144,0.18321706,0.01924564,0.17826739,0.027745554,0.29320326,0.014668477,0.027021628,0.0133769605,0.042652596
0.19016214,0.18005931,0.018833846,0.17910573,0.028962303,0.3066692,0.0147855785,0.026382357,0.012422324,0.04261721
0.19674069,0.18270016,0.019430282,0.17894931,0.028334213,0.29579914,0.0148168225,0.026853368,0.012810644,0.043565407
0.20190436,0.18228601,0.018670607,0.17743543,0.02771919,0.2952768,0.014399702,0.026867494,0.013765497,0.041674923
0.20168386,0.1794152,0.017780263,0.17654228,0.027960045,0.3015246,0.014324562,0.02654994,0.014049436,0.040169824
0.1972557,0.18357435,0.019626526,0.17935945,0.02825058,0.29377246,0.014793594,0.02698579,0.012878241,0.043503325
0.20499961,0.17910646,0.019141935,0.17547315,0.028779369,0.29398996,0.015418809,0.02660678,0.013342346,0.043141697
0.20605038,0.18147619,0.020371946,0.17693049,0.028763892,0.2848153,0.015890775,0.02717877,0.013031187,0.045491047
0.19798101,0.17291234,0.016250825,0.1765808,0.028927412,0.31384686,0.014580091,0.026373263,0.014472575,0.03807478
0.19657712,0.17422304,0.01671082,0.17705646,0.028948603,0.31289333,0.014665242,0.026323099,0.0140334545,0.038568765
0.20227061,0.17788395,0.018001335,0.17616604,0.028513135,0.3017004,0.01494124,0.02657522,0.013895242,0.040052786
0.2023922,0.18068247,0.019105483,0.17701341,0.02852774,0.29500479,0.015176098,0.026832405,0.013410433,0.041854925
0.2022071,0.18108174,0.01908822,0.17717497,0.028452907,0.29463395,0.015063607,0.026877828,0.01343614,0.041983478
0.19975722,0.17932439,0.01829776,0.17708184,0.028523635,0.3012418,0.014791984,0.026590224,0.013539892,0.040851172
0.19018452,0.1814604,0.019458326,0.18008478,0.028991016,0.30144414,0.0150351245,0.02674879,0.012268058,0.04432485
0.19326504,0.17829022,0.017745329,0.17822157,0.028536929,0.30843157,0.014459847,0.026316667,0.013193357,0.04153947
0.19510685,0.17862758,0.01767545,0.17778763,0.028468985,0.306994,0.014311887,0.026321234,0.01339298,0.041313373
0.19486861,0.18472902,0.019305715,0.18036003,0.027806832,0.29383147,0.014216036,0.027118575,0.012965892,0.0447978
0.19623145,0.18086274,0.017656814,0.17836131,0.027357318,0.30354327,0.0138029875,0.026875732,0.013985742,0.04132268
0.18840076,0.18659407,0.020537639,0.1836299,0.028272945,0.29098248,0.014680466,0.027372317,0.011940161,0.04758923
0.195181,0.177705,0.01694322,0.17787546,0.027910672,0.30996743,0.013927618,0.026537083,0.014045203,0.039907295
0.18956067,0.18457244,0.019704308,0.18160641,0.028481945,0.2972287,0.014478794,0.026978837,0.0122844195,0.045103516
0.19652785,0.18011373,0.017773455,0.17800829,0.027963854,0.30411088,0.014069704,0.026575617,0.013681675,0.041174997
0.19802201,0.1811415,0.018146789,0.17791714,0.027980145,0.3008796,0.014125666,0.026591891,0.0136178555,0.041577365
0.19823465,0.17806266,0.016979015,0.17720532,0.027700962,0.30730146,0.0139199225,0.026620021,0.014356509,0.03961959
0.19771561,0.17964405,0.0175964,0.17774391,0.027815863,0.30416512,0.014101857,0.026678493,0.013949515,0.040589254
0.1946855,0.1795848,0.017859621,0.17830375,0.02824404,0.30554938,0.01425009,0.02645181,0.013365878,0.0417051
0.05391733,0.28189507,0.051582586,0.24238642,0.06465914,0.042946175,0.05886597,0.08861068,0.025181513,0.08995511
