y_A_0,y_A_1,y_A_2,y_A_3,y_A_4,y_A_5,y_A_6,y_A_7,y_A_8,y_A_9
0.07881321,0.07854464,0.050653223,0.059009355,0.12933089,0.13654333,0.10174699,0.045803934,0.1154231,0.20413134
0.07179212,0.080257736,0.051459797,0.06447083,0.12639414,0.13542755,0.10360114,0.04674781,0.108450755,0.2113981
0.074520424,0.080595374,0.05153167,0.0642499,0.12747125,0.13119005,0.10378183,0.046895247,0.10706689,0.21269737
0.07495758,0.07710054,0.051664818,0.057444587,0.13099232,0.13591267,0.10458505,0.047488663,0.1125459,0.20730786
0.073980175,0.0792615,0.05136845,0.05926613,0.13452096,0.13431935,0.10377751,0.04708569,0.11076361,0.20565669
0.08135611,0.08202411,0.0511886,0.06163535,0.12744345,0.13262191,0.10162017,0.044994038,0.11192327,0.20519295
0.07303126,0.08003831,0.051952656,0.06270998,0.12864889,0.13030909,0.10342571,0.046578426,0.10985912,0.21344654
0.07700154,0.08327171,0.051824432,0.06635202,0.12119259,0.13260564,0.10188931,0.04516619,0.10715851,0.21353805
0.08319937,0.08098462,0.050929524,0.05629512,0.13492931,0.13472614,0.10058775,0.046518557,0.11121954,0.20061009
0.06815661,0.078181535,0.051873997,0.060164295,0.13802463,0.12577258,0.10651485,0.047081403,0.11665132,0.20757872
0.07876399,0.077463105,0.051580183,0.06290229,0.12955076,0.14008339,0.1034485,0.04669098,0.111271255,0.19824557
0.071855865,0.08169377,0.05207416,0.068215005,0.12784594,0.12989274,0.10526286,0.045536034,0.11104085,0.20658278
0.06861293,0.07721329,0.0514687,0.0624673,0.13118978,0.13440362,0.105646975,0.047211096,0.11369213,0.20809415
0.07806777,0.0760039,0.05080971,0.061109222,0.13007149,0.14209434,0.1038187,0.047519866,0.1112623,0.19924271
0.072245635,0.07525527,0.05153417,0.054346915,0.14278178,0.13714029,0.105179206,0.049181245,0.11365726,0.19867823
0.067966655,0.07896822,0.052219212,0.059462853,0.13621815,0.12648244,0.107586995,0.047960714,0.114044495,0.2090902
0.07626057,0.077926666,0.052005112,0.06047296,0.13532034,0.13740465,0.104810394,0.0486798,0.10780191,0.19931757
0.07384775,0.07883118,0.051165845,0.065347046,0.13024293,0.13596924,0.1043277,0.046979394,0.11164569,0.20164318
0.070894636,0.07621992,0.051061723,0.062480316,0.13133553,0.13775152,0.10490689,0.0470755,0.11459475,0.20367917
0.080256104,0.074301265,0.050658323,0.053093363,0.1402598,0.14128602,0.10162723,0.048373375,0.11556511,0.19457933
0.07042552,0.07718959,0.052925825,0.05536903,0.1411492,0.12895788,0.105376594,0.05050817,0.10768973,0.21040848
0.07542511,0.076224014,0.051134415,0.06092205,0.13063514,0.13857247,0.10328356,0.048451472,0.10993997,0.20541178
0.07731485,0.07501915,0.05122584,0.059322987,0.13072188,0.14138047,0.102468334,0.048663493,0.11192822,0.20195472
0.07880736,0.07058191,0.05196748,0.052128673,0.14452398,0.14215744,0.10245368,0.051788688,0.10928137,0.1963094
0.06872286,0.07409845,0.051188234,0.060576994,0.13219018,0.1383635,0.10395079,0.048198078,0.1165893,0.2061216
0.075929604,0.07491576,0.05134685,0.060272943,0.13247766,0.13835426,0.10391362,0.04931985,0.110877044,0.20259254
0.07329721,0.07309254,0.05127658,0.05946095,0.13339181,0.14034165,0.103990085,0.04906702,0.112989895,0.2030922
0.07138196,0.07648582,0.05090662,0.06041881,0.13143425,0.1363386,0.104592405,0.04717446,0.115386754,0.20588031
0.07746527,0.07248742,0.05113626,0.055390272,0.13738632,0.1400974,0.10338286,0.048886925,0.11598692,0.19778046
0.08132807,0.079219244,0.051345892,0.056948423,0.13720253,0.13429153,0.10172199,0.047995795,0.10914154,0.20080492
0.07837986,0.062378556,0.11583344,0.079705745,0.10953875,0.16246666,0.0972037,0.051669642,0.03159718,0.21122648
0.08461678,0.05838338,0.115015134,0.071690716,0.11331155,0.16382965,0.10465982,0.05135325,0.031259358,0.20588037
0.06475063,0.06233696,0.11367563,0.09254089,0.10955072,0.1553813,0.090377405,0.04503151,0.038857076,0.22749794
0.08206173,0.0597649,0.11393371,0.0758222,0.11382875,0.16809459,0.09647085,0.050910957,0.032467496,0.20664485
0.069868736,0.058541734,0.11585736,0.079106726,0.11945596,0.15854701,0.09879399,0.047169868,0.036659822,0.21599878
0.075110584,0.060884506,0.119110815,0.0755523,0.115792654,0.16077185,0.095420934,0.057163175,0.029331034,0.2108622
0.079110704,0.053956244,0.11907352,0.06462871,0.13191788,0.16474716,0.10428483,0.05179674,0.032735765,0.1977484
0.07286264,0.060294636,0.11584033,0.077482745,0.11867918,0.16522321,0.09932702,0.049070194,0.034948327,0.20627174
0.061861247,0.062182225,0.11244934,0.08902189,0.11620444,0.15865366,0.09262116,0.047400802,0.037591625,0.2220136
0.058300484,0.062642984,0.11604293,0.09314494,0.11572839,0.1550565,0.08992942,0.045285247,0.04008358,0.22378553
0.06920909,0.06452553,0.11426104,0.08346854,0.110707276,0.16179189,0.099511325,0.050034545,0.033472117,0.21301866
0.057428967,0.059655264,0.11927264,0.0696643,0.14768872,0.16771325,0.0800336,0.050088327,0.034789655,0.21366525
0.05850285,0.062667504,0.117440484,0.07729469,0.13261786,0.16420735,0.08025857,0.051902633,0.032699157,0.22240885
0.056488365,0.06295652,0.11785738,0.08177429,0.13038482,0.1636253,0.07717482,0.05089942,0.03345209,0.22538699
0.063585445,0.062297326,0.11474696,0.07713424,0.12982106,0.16744062,0.07877709,0.05530091,0.030272605,0.22062364
0.06340609,0.05754286,0.11577577,0.06889408,0.14139917,0.17391823,0.082310855,0.056360953,0.029737312,0.21065468
0.067418285,0.052713763,0.1120426,0.061384518,0.14973038,0.18315674,0.08867377,0.054534867,0.03019524,0.20014988
0.059816148,0.052577857,0.11660541,0.06588998,0.15079139,0.17552221,0.0890482,0.05182824,0.032967977,0.20495255
0.06878888,0.058041364,0.117477015,0.07344146,0.12004136,0.16490273,0.095797464,0.05294532,0.029159844,0.21940456
0.072899625,0.057785608,0.11338721,0.07017698,0.12299339,0.16558634,0.10218778,0.05010305,0.030350056,0.21452996
0.06722054,0.060808465,0.11217363,0.0819213,0.11969482,0.16379543,0.09093071,0.047689985,0.03415786,0.2216072
0.07358097,0.059992913,0.11462569,0.07571168,0.12376347,0.16156673,0.08979174,0.05022529,0.03167839,0.21906313
0.08789695,0.056047793,0.1153518,0.06203264,0.12991965,0.17021187,0.09318944,0.057578154,0.025807722,0.2019639
0.07686287,0.05714018,0.12297119,0.06630021,0.12750447,0.16115835,0.09619344,0.05593546,0.027670925,0.2082629
0.07064888,0.058627807,0.12040031,0.07317139,0.123369575,0.15917674,0.0968637,0.05203202,0.031025423,0.21468414
0.0656121,0.061150096,0.11540146,0.08619272,0.11313631,0.16033727,0.090771705,0.047627747,0.034356136,0.22541444
0.07809451,0.06132392,0.116474,0.07884227,0.11119721,0.16575347,0.09427072,0.05042944,0.030799787,0.2128147
0.06325255,0.055601045,0.11851168,0.075178504,0.1325707,0.16891868,0.09273921,0.047751106,0.035795756,0.20968072
0.074741095,0.05821335,0.11213821,0.07065105,0.12406978,0.17931451,0.09490456,0.05322748,0.030194452,0.20254555
0.06593028,0.057713367,0.108195886,0.07212267,0.13098826,0.17933695,0.09176929,0.05030732,0.032749556,0.21088645
0.028471088,0.08883628,0.051801693,0.075500675,0.077958725,0.1959587,0.088016555,0.16060017,0.090781875,0.14207424
0.028581014,0.08814166,0.04938096,0.07420416,0.07759476,0.2078233,0.0891224,0.15705131,0.08988986,0.13821064
0.029627468,0.08625701,0.051197328,0.06883011,0.08057399,0.20503074,0.09317355,0.15534678,0.0925828,0.13738023
0.029033337,0.08632461,0.05292655,0.067417,0.08310418,0.19744883,0.09489533,0.1547469,0.09465981,0.13944347
0.028341368,0.08675024,0.054137684,0.07165204,0.08239482,0.19501837,0.08973828,0.1577932,0.093245104,0.14092891
0.027888613,0.087139465,0.05347516,0.070995,0.08159762,0.20003684,0.09036768,0.15217781,0.095737875,0.14058389
0.027971778,0.087209515,0.05516252,0.073281445,0.08365931,0.18976843,0.08766384,0.1608877,0.09262524,0.14177032
0.028230151,0.08741695,0.049517803,0.07386186,0.07949374,0.20634411,0.09006718,0.15847948,0.088852234,0.13773644
0.029269023,0.090135776,0.049911477,0.07992755,0.07575011,0.19978055,0.085351385,0.16254023,0.087593056,0.13974078
0.029969918,0.08650897,0.049193446,0.07091173,0.08099383,0.21136712,0.09335137,0.15132457,0.092372045,0.13400696
0.03037736,0.08692611,0.04940191,0.07357775,0.07707551,0.2136026,0.090934,0.15047973,0.09286044,0.1347646
0.031053832,0.08839585,0.05003989,0.0747147,0.077223666,0.19966553,0.091165796,0.15731336,0.09176214,0.13866526
0.031147093,0.0887363,0.049153764,0.07412642,0.07570797,0.21392664,0.09065651,0.14729638,0.09442809,0.1348208
0.030206203,0.08667413,0.05177627,0.07615209,0.081081666,0.19433297,0.08948068,0.16249585,0.089517765,0.13828246
0.029772133,0.08851265,0.052005082,0.0782795,0.07875034,0.19558169,0.08689343,0.16194145,0.08886103,0.13940269
0.031241994,0.0868649,0.051729858,0.0715321,0.07945472,0.21040396,0.09204069,0.14626002,0.09602862,0.1344432
0.033275437,0.08833658,0.051876526,0.071169704,0.07968162,0.20296487,0.09279725,0.14865465,0.096288845,0.13495451
0.031007597,0.0906599,0.052180585,0.08275126,0.07510045,0.19104853,0.08422199,0.16156179,0.09022842,0.14123951
0.029722916,0.08936946,0.050530493,0.07867444,0.07511597,0.20132786,0.08746711,0.15608138,0.09158142,0.14012891
0.029281398,0.086556636,0.05097624,0.072164215,0.08087835,0.20395629,0.0942679,0.15074578,0.09417325,0.13700002
0.029873855,0.086863235,0.051042516,0.07249519,0.07970347,0.20276737,0.09456813,0.15074335,0.0942853,0.13765757
0.03181056,0.08797153,0.05148059,0.06988625,0.08045849,0.19888057,0.09711394,0.14667062,0.09897947,0.13674797
0.02996875,0.08662781,0.05307344,0.07166433,0.082762405,0.19424959,0.09545441,0.15179229,0.09613255,0.13827437
0.029980227,0.08505,0.054690294,0.06878849,0.08739522,0.18724625,0.09720857,0.15610057,0.095534176,0.13800627
0.029077549,0.08442636,0.051866032,0.06698327,0.08080711,0.20652881,0.09825563,0.14429119,0.09942891,0.13833511
0.03023752,0.08509238,0.050855104,0.067364335,0.07884755,0.20982632,0.09872244,0.13992853,0.1021933,0.13693245
0.02851551,0.08520829,0.05292843,0.06793737,0.08350386,0.2013609,0.09648124,0.14925362,0.09664748,0.13816333
0.030030882,0.08436358,0.050884444,0.064622656,0.08416273,0.20615016,0.10164248,0.1453411,0.09806291,0.13473909
0.029186461,0.08575683,0.051907193,0.06891299,0.08389342,0.19985154,0.09748715,0.15125006,0.09506701,0.13668726
0.029742159,0.08678979,0.0521391,0.07252285,0.080684744,0.19471437,0.09519657,0.15304244,0.09525055,0.13991739
0.035113215,0.092117585,0.15132664,0.08734612,0.08993783,0.14128417,0.15923345,0.035975117,0.06291429,0.14475164
0.037194498,0.090530075,0.15692712,0.07937521,0.09353715,0.14185447,0.16197619,0.03898455,0.062162165,0.13745856
0.036552303,0.092281334,0.15981232,0.07977982,0.09339302,0.13904047,0.16010892,0.039971996,0.06094105,0.13811876
0.036288757,0.092779055,0.15817764,0.08252112,0.09145248,0.13906288,0.15853335,0.039160572,0.061046876,0.1409773
0.037599318,0.09486257,0.15062307,0.084372774,0.0906321,0.14530596,0.15594086,0.036849204,0.06400327,0.1398109
0.038799595,0.09361067,0.15391625,0.08190824,0.09116554,0.14445184,0.15504317,0.037887506,0.064687654,0.1385295
0.038217776,0.09227056,0.15866788,0.0792876,0.09338711,0.14111549,0.15837748,0.03952977,0.06268002,0.13646631
0.035415865,0.09453635,0.16015194,0.08541246,0.0893322,0.13677542,0.1523966,0.039453294,0.061631233,0.1448946
0.035200704,0.09199784,0.15598089,0.08491264,0.091661066,0.13897039,0.15826793,0.037962202,0.062081736,0.14296457
0.03581561,0.09251279,0.16545655,0.08024187,0.09182141,0.13478883,0.15590727,0.041965112,0.06046431,0.14102624
0.038196836,0.089606985,0.16016544,0.07630408,0.09531142,0.14181632,0.16160537,0.039926484,0.062084667,0.13498236
0.03549879,0.09340436,0.16284426,0.08546021,0.08840516,0.13461044,0.15226154,0.039950196,0.061291587,0.14627339
0.038707204,0.0905459,0.16270758,0.077959634,0.09348613,0.13986747,0.15824369,0.040763106,0.06179629,0.13592298
0.0385318,0.091342784,0.15910631,0.08006244,0.092568584,0.14008722,0.15816355,0.039181072,0.06261705,0.13833922
0.037705146,0.09320888,0.15517922,0.08254581,0.09201447,0.142213,0.15630026,0.03804457,0.06298362,0.13980503
0.037524264,0.1012098,0.12870996,0.09136395,0.09182821,0.16192976,0.1595446,0.031994183,0.063719936,0.13217536
0.038661197,0.10375663,0.13844757,0.08809514,0.09096682,0.15433234,0.15352227,0.035314985,0.06293293,0.13397007
0.034744676,0.1052966,0.1371656,0.09497782,0.09021729,0.14925551,0.15571418,0.034135193,0.06072948,0.13776372
0.03673588,0.10254957,0.13227586,0.09302326,0.089459054,0.1574627,0.1578518,0.03279218,0.063200384,0.13464935
0.03760696,0.098078124,0.13644405,0.08450522,0.096032545,0.15692861,0.16666333,0.034302566,0.061856315,0.12758236
0.039240856,0.09817046,0.14668903,0.0808709,0.094829135,0.15258956,0.15767106,0.03742974,0.0633179,0.12919135
0.034091976,0.10197391,0.13962698,0.09417091,0.090886705,0.1460932,0.1567126,0.034405507,0.05997345,0.1420648
0.036129158,0.10113671,0.13810153,0.091389515,0.08943834,0.15239172,0.1552501,0.034409005,0.061959777,0.13979405
0.037646428,0.09414777,0.14357099,0.07770918,0.09798364,0.1555923,0.16750506,0.037037365,0.06114333,0.127664
0.03922052,0.09577313,0.15313889,0.079216436,0.095428325,0.1458543,0.1597823,0.03926587,0.06026379,0.13205643
0.03905864,0.09768473,0.15584366,0.08212968,0.09428943,0.14226921,0.15741906,0.039197378,0.060743608,0.1313647
0.03955441,0.09546133,0.14850694,0.08330027,0.09338843,0.14937776,0.15896444,0.036718916,0.06255585,0.13217169
0.037908833,0.09800324,0.15425058,0.086343125,0.08920081,0.14248814,0.14791018,0.038514744,0.06286359,0.14251682
0.03786458,0.09592548,0.15613775,0.08393595,0.09152703,0.14086433,0.15228364,0.038946413,0.062329877,0.14018497
0.04065258,0.09455788,0.14844294,0.080359444,0.095422246,0.14772525,0.15782697,0.037363913,0.062722646,0.13492605
0.059402425,0.04158991,0.11771477,0.060793225,0.15228733,0.112009436,0.090860344,0.14628607,0.09880762,0.12024893
0.07310689,0.03861199,0.12279442,0.05469974,0.15451306,0.10382668,0.09304906,0.15157747,0.0976169,0.11020383
0.065850705,0.04012631,0.12738256,0.055467255,0.15455355,0.106075265,0.09124902,0.1486284,0.097172186,0.11349475
0.05946917,0.041152075,0.119506545,0.06107183,0.14892715,0.10982964,0.09121885,0.14498465,0.10033528,0.123504825
0.07734717,0.038895294,0.12099148,0.0534109,0.1566569,0.10422478,0.090527534,0.15115273,0.099398166,0.107395075
0.068961225,0.03998736,0.11844151,0.056812983,0.14801876,0.10698445,0.09018996,0.14440984,0.1042021,0.121991836
0.07413463,0.039843775,0.11686198,0.056025967,0.14827481,0.10656088,0.09043782,0.14429718,0.10447495,0.11908805
0.078528844,0.038442567,0.120871246,0.05381082,0.15274753,0.10232634,0.093903825,0.14988425,0.09824706,0.11123758
0.065640405,0.042055443,0.11336844,0.062291335,0.14853498,0.10987601,0.0933329,0.14798927,0.097995974,0.11891518
0.07030708,0.041478403,0.11547544,0.059922326,0.15497941,0.10848708,0.09378767,0.1510001,0.095256835,0.10930566
0.06443305,0.041500073,0.11739477,0.062270816,0.14465196,0.107026674,0.09327137,0.14801292,0.098865405,0.12257296
0.063422725,0.041993048,0.118307844,0.06118338,0.14827421,0.10841461,0.093745805,0.14889345,0.09614843,0.11961657
0.06756465,0.040213738,0.11522841,0.06117348,0.14665394,0.10706016,0.09417047,0.14480497,0.10066652,0.122463666
0.0764566,0.03782458,0.117278375,0.05581073,0.15516722,0.104378365,0.09576899,0.14945745,0.09746597,0.1103917
0.05021224,0.042456847,0.1140196,0.06818249,0.14062239,0.11575784,0.08784405,0.13214178,0.10679877,0.14196391
0.057216324,0.04170363,0.11328459,0.065973006,0.14514384,0.11247088,0.09201924,0.1412545,0.10095131,0.12998262
0.0723012,0.038864233,0.11829808,0.057125114,0.15042874,0.104500994,0.09480316,0.14934786,0.098705985,0.11562467
0.06649271,0.04040896,0.11926516,0.058613595,0.14523937,0.10604842,0.09253007,0.14711566,0.100916654,0.12336941
0.06634765,0.040748082,0.11394893,0.062202584,0.14871606,0.10831684,0.09565605,0.14929195,0.09666198,0.11810997
0.061261468,0.041661855,0.11625204,0.06375685,0.14493728,0.1094951,0.09287374,0.1431004,0.100535914,0.12612541
0.077875525,0.038224548,0.11812024,0.058102198,0.15112512,0.10089814,0.09846726,0.15224832,0.09419178,0.11074684
0.07645713,0.039011944,0.121437006,0.056442,0.15127751,0.1010089,0.09754271,0.15414445,0.09274013,0.109938204
0.071586624,0.039100386,0.118648395,0.059302364,0.15067536,0.10433374,0.09672599,0.15184003,0.09568733,0.112099804
0.064228825,0.040631395,0.12242858,0.059281185,0.14554435,0.10534634,0.0935446,0.14944656,0.09806439,0.1214837
0.057490427,0.04190113,0.119608894,0.063879944,0.14404736,0.10935858,0.09227764,0.14466168,0.099662885,0.12711138
0.0530809,0.04289882,0.116215594,0.06711677,0.14185336,0.11287218,0.09025507,0.13975178,0.10156286,0.13439268
0.05333898,0.042660043,0.11464636,0.067031376,0.14347664,0.114298224,0.09029105,0.13896538,0.10201413,0.1332778
0.05876037,0.040532738,0.1170024,0.062269535,0.15121892,0.11187319,0.09288902,0.14217657,0.099629305,0.12364808
0.05660853,0.041113682,0.11812181,0.06339042,0.14735031,0.1122976,0.09141488,0.13954134,0.10157773,0.12858371
0.061509527,0.04287293,0.11688296,0.061074566,0.14322463,0.10866474,0.090654105,0.1509689,0.098315686,0.12583198
