y_A_0,y_A_1,y_A_2,y_A_3,y_A_4,y_A_5,y_A_6,y_A_7,y_A_8,y_A_9
0.07553637,0.036658376,0.09293329,0.06258105,0.12889783,0.04962442,0.12865841,0.0759477,0.16216403,0.18699847
0.062986575,0.04331624,0.0927152,0.07076976,0.13344099,0.052322514,0.15256348,0.06727974,0.15752149,0.16708387
0.076174945,0.03883326,0.09587767,0.05808609,0.14158244,0.044120245,0.11506823,0.06785884,0.17931688,0.18308146
0.075465575,0.037933458,0.106492735,0.061906096,0.13193908,0.045714397,0.12659219,0.070421055,0.15897118,0.18456425
0.067713395,0.04730461,0.10698764,0.07777702,0.13658097,0.0458083,0.13142401,0.07260484,0.16581027,0.14798896
0.0644715,0.04131366,0.09208842,0.074125595,0.13234057,0.04658653,0.083106115,0.08560832,0.23336224,0.1469971
0.06849695,0.042704858,0.1177981,0.07527921,0.13552283,0.038923834,0.092739135,0.084644675,0.19525725,0.1486332
0.08090496,0.037056457,0.10628718,0.06349418,0.13302335,0.038246017,0.0750003,0.0857999,0.21867971,0.1615079
0.059076246,0.04620472,0.09468744,0.085699,0.13157585,0.04199024,0.07776888,0.091349274,0.23719181,0.13445656
0.077902414,0.039335966,0.09898039,0.062490318,0.13187028,0.036510486,0.08518505,0.08601458,0.21146336,0.17024711
0.07393626,0.04445425,0.11615905,0.0885109,0.11754652,0.038285665,0.09426584,0.111405805,0.18603215,0.12940347
0.0737829,0.043238025,0.101522245,0.06923305,0.13204445,0.04107904,0.09851805,0.083349496,0.2050685,0.15216427
0.07327803,0.038778853,0.10776267,0.06616374,0.12568158,0.041536737,0.09407275,0.08143549,0.21229294,0.15899724
0.079634994,0.039124113,0.11032172,0.06745077,0.12787832,0.040651202,0.09486289,0.09250045,0.18255164,0.16502388
0.061855532,0.043239895,0.11129791,0.06990052,0.13529953,0.041406706,0.10789985,0.07310787,0.19565609,0.16033602
0.07341409,0.03606184,0.121530384,0.061633386,0.12614122,0.03317061,0.08677578,0.08786738,0.20821624,0.16518907
0.07107229,0.040411588,0.13710818,0.07387054,0.11807927,0.029835172,0.101082034,0.10009611,0.18211251,0.14633234
0.0853141,0.035215955,0.11966676,0.06225032,0.12073482,0.032816205,0.08257067,0.10563973,0.18324266,0.17254876
0.07059511,0.035295688,0.13265221,0.05846821,0.12341115,0.030038806,0.08353237,0.08535043,0.20290698,0.17774913
0.061311923,0.040227816,0.09667905,0.0666285,0.1360381,0.04197333,0.08669217,0.073660746,0.22580118,0.17098719
0.07032373,0.042653214,0.10150554,0.06435041,0.1404459,0.03793722,0.09306069,0.075581096,0.19097818,0.18316408
0.072799675,0.037907787,0.122380644,0.060521927,0.12953036,0.033322547,0.094275974,0.08245328,0.18683912,0.17996868
0.07308771,0.03879615,0.09601837,0.060888283,0.14329499,0.039593052,0.08275947,0.07765615,0.20784187,0.180064
0.06839242,0.03445097,0.10509005,0.06209368,0.12933348,0.040831704,0.08191709,0.07794822,0.21903194,0.18091036
0.06786252,0.039377585,0.12127639,0.06409408,0.120822646,0.03642373,0.12098354,0.08106021,0.17594787,0.1721514
0.06974,0.03654403,0.112353794,0.060560904,0.12920989,0.037709177,0.0996107,0.080175035,0.19258475,0.1815117
0.07314797,0.04781669,0.11520259,0.08367008,0.13258974,0.044569634,0.13752262,0.08341467,0.1470681,0.13499784
0.07277597,0.04167747,0.118113436,0.06703588,0.14023632,0.03663321,0.11113862,0.08501428,0.16208427,0.16529055
0.07389594,0.034200385,0.12607728,0.053356107,0.13521093,0.033935804,0.098782875,0.07803186,0.17066349,0.19584532
0.08044164,0.034777842,0.11952927,0.05654756,0.13412058,0.036737937,0.09929276,0.08250877,0.17228125,0.1837623
0.050377116,0.06874952,0.08148475,0.080952615,0.06633475,0.07540171,0.07973943,0.10826198,0.18266799,0.20603022
0.05352762,0.07422532,0.07309603,0.087646544,0.06613238,0.08543924,0.091938436,0.11041221,0.16077648,0.19680573
0.05342384,0.074370526,0.07958887,0.07803149,0.103010885,0.08279498,0.08182127,0.12599362,0.16611248,0.15485193
0.06061947,0.07672127,0.07679851,0.07575226,0.12715122,0.09266332,0.084936835,0.11240204,0.1660218,0.12693328
0.06376544,0.07783361,0.08252429,0.07980618,0.11193151,0.11431578,0.09179085,0.11661284,0.15156423,0.10985531
0.058258675,0.063503034,0.08160832,0.067927554,0.083018884,0.09148039,0.086705096,0.114254616,0.17159535,0.1816481
0.05105429,0.058934353,0.084549725,0.06406185,0.07632564,0.08012168,0.07931859,0.113415085,0.17576797,0.2164507
0.052106317,0.0609959,0.101063415,0.070002936,0.10674742,0.06784102,0.06533503,0.108095355,0.22744936,0.14036328
0.06247802,0.06280274,0.070083395,0.06343991,0.10065095,0.09093531,0.08907148,0.12937835,0.15415166,0.17700821
0.058403328,0.064671464,0.08348087,0.061516255,0.10665704,0.076295294,0.08126135,0.10768562,0.18753429,0.17249455
0.058069937,0.063192025,0.08754932,0.06519535,0.1753368,0.07433814,0.062872894,0.13175459,0.18432878,0.09736214
0.070347,0.06884381,0.061534557,0.064862356,0.10783781,0.075692266,0.09092093,0.086992204,0.19843718,0.17453188
0.060267903,0.06612247,0.08085983,0.069317855,0.078035675,0.06649611,0.07414586,0.08804153,0.2268751,0.18983765
0.050315198,0.05896734,0.0832594,0.061586402,0.07777156,0.06878111,0.07314259,0.14661588,0.17215076,0.20740971
0.05482361,0.057091042,0.084318,0.06654026,0.101129554,0.057438497,0.059330717,0.11740209,0.2416341,0.16029209
