Date,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,close,high,low,volume,vwap,returns,y_A_0,y_A_1,y_A_2,y_A_3,y_A_4,y_A_5,y_A_6,y_A_7,y_A_8,y_A_9
,,,,,,,,,,,,,,,,,0.29187584,0.018389707,4.434235e-09,0.047923926,0.07863786,0.14210276,0.05712657,0.01028989,0.035572086,0.31808144
,,,,,,,,,,,,,,,,,0.28696617,0.018603249,4.337406e-09,0.049795937,0.07565904,0.14016545,0.05960526,0.010397578,0.032991163,0.32581612
,,,,,,,,,,,,,,,,,0.28410953,0.018845517,4.288025e-09,0.050458428,0.07435826,0.13994567,0.06127923,0.010407076,0.031699665,0.32889667
,,,,,,,,,,,,,,,,,0.28966758,0.018570034,4.3615236e-09,0.049090464,0.076775275,0.14086212,0.05885599,0.0103147775,0.03388639,0.32197735
,,,,,,,,,,,,,,,,,0.28653187,0.01859851,4.336107e-09,0.04962763,0.07554633,0.14068088,0.059617765,0.010401634,0.0330108,0.32598454
,,,,,,,,,,,,,,,,,0.2840661,0.018921366,4.3182355e-09,0.049896535,0.07399033,0.1412234,0.061319783,0.0104166055,0.032018706,0.32814714
,,,,,,,,,,,,,,,,,2.566121e-08,0.16378392,3.3131545e-14,0.25179356,5.4252194e-08,0.10176548,0.1582782,0.002330318,9.582456e-13,0.32204843
,,,,,,,,,,,,,,,,,2.5498714e-08,0.1602377,3.3311214e-14,0.24836811,5.313568e-08,0.098995864,0.16059385,0.0023825222,9.524447e-13,0.3294219
,,,,,,,,,,,,,,,,,2.5054984e-08,0.16043878,3.306289e-14,0.2493964,5.242685e-08,0.09811797,0.15877496,0.002355561,9.519072e-13,0.3309163
,,,,,,,,,,,,,,,,,2.6559496e-08,0.1677788,3.2702553e-14,0.24427007,5.432723e-08,0.102348365,0.16420802,0.0024053208,9.611252e-13,0.3189894
,,,,,,,,,,,,,,,,,2.5504665e-08,0.16441955,3.289114e-14,0.24947977,5.3046804e-08,0.097115606,0.16101053,0.002356031,9.55637e-13,0.32561842
,,,,,,,,,,,,,,,,,2.704977e-08,0.16864303,3.3972008e-14,0.26022702,5.7773626e-08,0.10071576,0.15916456,0.0022991977,9.624107e-13,0.3089504
,,,,,,,,,,,,,,,,,5.9567967e-08,0.14969683,6.028614e-07,0.12651642,0.09940895,3.7525628e-05,0.12670991,1.9596608e-05,1.7979675e-08,0.49761012
,,,,,,,,,,,,,,,,,5.980522e-08,0.14745009,6.0490834e-07,0.12896383,0.109819114,3.6937403e-05,0.12182228,1.9236024e-05,1.8663021e-08,0.4918879
,,,,,,,,,,,,,,,,,5.8946107e-08,0.14791392,6.0554885e-07,0.12629838,0.1059582,3.6270703e-05,0.122980446,1.9092657e-05,1.8423979e-08,0.49679306
,,,,,,,,,,,,,,,,,5.8074384e-08,0.15175301,5.740527e-07,0.13181432,0.09957535,3.548857e-05,0.121559896,1.8670333e-05,1.6179019e-08,0.49524263
